27508 2 7 -80 0
27722 3 7 -80 0
27936 4 7 -80 0
28150 5 7 -80 37
28363 6 7 -80 37
28577 7 7 -80 37
28792 8 7 -80 37
29006 9 7 -80 80
29219 10 7 -80 80
29433 11 7 -80 80
29647 12 7 -80 80
29862 13 7 -80 80
30075 14 7 -80 86
30290 15 7 -80 86
30512 16 7 -80 86
30727 17 7 -80 86
30942 18 7 -80 86
31156 19 7 -80 80
31370 20 7 -80 80
31584 21 7 -80 80
31797 22 7 -80 80
32012 23 7 -80 86
32226 24 7 -80 86
32447 26 7 -80 86
32660 27 7 -80 86
32869 28 7 -80 86
33078 29 7 -80 68
33287 30 7 -80 68
33496 31 7 -80 68
33705 32 7 -80 68
33914 33 7 -80 68
34123 34 7 -80 0
34332 35 7 -80 0
34546 1 8 -80 0
34768 2 8 -80 0
34982 3 8 -80 0
35196 4 8 -80 24
35409 5 8 -80 24
35623 6 8 -80 24
35838 7 8 -80 24
36051 8 8 -80 80
36266 9 8 -80 80
36480 10 8 -80 80
36693 11 8 -80 80
36907 12 8 -80 80
37122 13 8 -80 80
37336 14 8 -80 80
37549 15 8 -80 80
37763 16 8 -80 80
37978 17 8 -80 80
38192 18 8 -80 86
38405 19 8 -80 86
38619 20 8 -80 86
38833 21 8 -80 86
39048 22 8 -80 86
39262 23 8 -80 86
39476 24 8 -80 86
39689 25 8 -80 86
39904 26 8 -80 86
40117 27 8 -80 80
40331 28 8 -80 80
40553 30 8 -80 80
40766 31 8 -80 80
40975 32 8 -80 80
41184 33 8 -80 74
41393 34 8 -80 74
41602 35 8 -80 74
41811 36 8 -80 74
42020 37 8 -80 0
42229 38 8 -80 0
42446 39 8 -80 0
42660 1 9 -80 0






38314 1 7 -80 0
38529 2 7 -80 0
38744 3 7 -80 0
38958 4 7 -80 0
39172 5 7 -80 18
39387 6 7 -80 18
39602 7 7 -80 18
39817 8 7 -80 18
40031 9 7 -80 37
40246 10 7 -80 37
40461 11 7 -80 37
40676 12 7 -80 37
40891 13 7 -80 37
41106 14 7 -80 36
41321 15 7 -80 36
41544 16 7 -80 36
41759 17 7 -80 36
41974 18 7 -80 36
42189 19 7 -80 37
42412 21 7 -80 37
42626 22 7 -80 37
42835 23 7 -80 37
43044 24 7 -80 24
43253 25 7 -80 24
43462 26 7 -80 24
43671 27 7 -80 24
43880 28 7 -80 24
44089 29 7 -80 0
44298 30 7 -80 0
44512 1 8 -80 0
44726 2 8 -80 0
44940 3 8 -80 0
45154 4 8 -80 12
45369 5 8 -80 12
45584 6 8 -80 12
45806 7 8 -80 12
46021 8 8 -80 37
46236 9 8 -80 37
46452 10 8 -80 37
46667 11 8 -80 37
46882 12 8 -80 37
47097 13 8 -80 37
47312 14 8 -80 37
47527 15 8 -80 37
47742 16 8 -80 37
47957 17 8 -80 37
48172 18 8 -80 37
48397 20 8 -80 37
48610 21 8 -80 37
48819 22 8 -80 37
49028 23 8 -80 30
49237 24 8 -80 30
49446 25 8 -80 30
49655 26 8 -80 30
49864 27 8 -80 30
50073 28 8 -80 6
50282 29 8 -80 6
50496 1 9 -80 6
50711 2 9 -80 6
50925 3 9 -80 6
51139 4 9 -80 0
51353 5 9 -80 0
51567 6 9 -80 0
51781 7 9 -80 0
51995 8 9 -80 0
52210 9 9 -80 6
52423 10 9 -80 6
52638 11 9 -80 6
52860 13 9 -80 6
53073 14 9 -80 0
53282 15 9 -80 0
53491 16 9 -80 0
53700 17 9 -80 0
53909 18 9 -80 0
54118 19 9 -80 0
54327 20 9 -80 0
54536 21 9 -80 0
54745 22 9 -80 0
54959 1 10 -80 0
55172 2 10 -80 0
55387 3 10 -80 0
55601 4 10 -80 0
55815 5 10 -80 0
56030 6 10 -80 0
56244 7 10 -80 0
56459 8 10 -80 0
56672 9 10 -80 0
56887 10 10 -80 0
57102 11 10 -80 0
57324 13 10 -80 0
57537 14 10 -80 0
57746 15 10 -80 0
